address,area,city,hotel_description,hotel_facilities,hotel_star_rating,latitude,longitude,property_name,property_type,room_facilities,state
"Mohangarh Rd,Amar Sagar Pol",Near Jaisalmer Golden Fort,Jaisalmer,"Vista Rooms at Jaisalmer Fort, Jaisalmer, is conveniently located in the city. The hotel offers comfortable accommodation and breathtaking services for a pleasant staying experience.",Food &amp; Beverage:Restaurant|Travel:Travel Desk|Parking|Personal Services:24 Hour Room Service|Laundry|Basics:Non-Smoking Rooms,3 Star hotel,26.912839,70.919796,Vista Rooms at Jaisalmer Fort,,Air Conditioning| Television| Safe | Telephone | Newspaper | Private Bathroom,Rajasthan
"160,Thirunallar Road Karaikal",Dr. Ambedkar Street,Karaikal,Kumaran Guest House-Karaikal is a pocket soothing accommodation for both leisure and business travellers. The hotel features simple looking rooms equipped with modern amenities.,Food &amp; Beverage:Restaurant|Basics:Air Conditioning|Lift|Express Check-In|Express Check-Out|Housekeeping|Banquet Facility|Doctor on Call|24 Hour Power Supply|Personal Services:Laundry|Travel:Parking|Hotel Amenities:24-Hour Security,3 Star hotel,10.925107,79.826243,Kumaran Guest House- Karaikal,Guest House,Air Conditioning| Television | Hot Water | Satellite Television | Shower,TamilNadu
"261, Ummaid Heritage, Behind Ummaid Bhawan Palace",,Jodhpur,,Food &amp; Beverage:Bar|Restaurant|Basics:Air Conditioning|Doctor on Call,4 Star hotel,26.677089,72.323906,Manvar Desert Camp,,Room Heater | Hot Water | Mineral Water | Toiletries | Private Bathroom,Rajasthan
"Sumer Bhawan' Moti chowk , Jodhpur, Rajasthan.",Old City,Jodhpur,"Hotel Blue House Guest House, Jodhpur is the oldest guesthouse of the city and has kept no stone unturned in making the stay memorable with its comforting hospitality. The hotel offers a lifetime experience to the guests with its gorgeous interiors featuring ethnic handcrafted decor and traditional ambience, that will bound the guests to the rich culture of India. LocationThe hotel is located at Sumer Bhawan in Moti chowk, Jodhpur and is merely a few kilometers away from the famed places of this Sun city like Mehrangarh Fort 4 km (approx.), Mandore 8 km (approx.), Umaid Bhawan Palace Museum 6 km (approx.), Ghanta Ghar, Jodhpur 1 km (approx.), Jaswant Thada 4 km (approx.) and Nehru Park Jodhpur 3 km (approx.)Jodhpur Airport- 8 km (approx.)Rai Ka Bagh Railway Station- 4 km (approx.)Ratanada Circle Bus Stand- 6 km (approx.)FacilitiesSome of the eminent facilities provided by the guesthouse are packed lunches, room service, car rental, shuttle facility on chargeable basis, 24-hour front desk, currency exchange, ticket service, tour desk, baggage storage storage, shared lounge and TV area, dry cleaning, laundry, business center and ironing service. Packed lunches are offered to satiate the appetite of the lodgers. The business center is well-equipped with essential amenities and make the stay convenient for business travelers. Guests can solve their commutation problem availing to the shuttle service facility. Currency exchanged facility makes the stay convenient. RoomsThe hotel consists of 21 luxurious rooms in eight variants of Jhankar Temple Suite, Royal King suite, Maharaja Suite, Fort-view suite, Krishna Suite, Umaid Suite, Laxmi-vila Suite and Maharani Suite. All the rooms are classy in dcor and make guests feel special. Attached bathrooms of the rooms are provided with 24-hour running hot and cold water. Free Wi-Fi connectivity in the rooms keep the vacationers stay connected to their families. Guests stay informed as the hotel provides daily newspaper to all the lodgers.",Basics:Internet|Air Conditioning|Adjoining Rooms|Housekeeping|Complimentary Wi-Fi access|Doctor on Call|Food &amp; Beverage:Restaurant|Coffee Shop|Travel:Travel Desk|Personal Services:24 Hour Front Desk|24 Hour Room Service|Babysitting|Laundry|Room Service|Hotel Amenities:24-Hour Security|No Category:Front Desk|Recreation:Massage Centre|Basic Room Amenities:Wake-Up Call Service,2 Star hotel,26.292799,73.020783,The Blue House Guest House,Guest House,Luggage Rack| Writing Desk / Study Table | Private Bathroom | Marble Floor Satellite Television Table Lamp Temperature Control Windows Open Free Wi-Fi Hangers Bedside Lamp Ceiling Fan | Toiletries | Air Conditioning Television | Internet / Broadband,Rajasthan
"Trikaripur Kadappurum(PO),Trikaripur, Kasaragod (District)",Payyannur,Kannur,Kavvayi Beach House in Kannur offers well-maintained cottages with modest interiors. Traditional verandas and bamboo huts are available to relax and dine while enjoying a view of the lake. There is an Ayurvedic centre for rejuvenation.,Basics:Internet|Air Conditioning|Doorman|Housekeeping|Complimentary Wi-Fi access|Personal Services:24 Hour Front Desk|Room Service|Travel:Parking|Free Parking|Hotel Amenities:24-Hour Security,3 Star hotel,12.089393,75.165979,Kavvayi Beach House,,Television | Hot Water | Ceiling Fan Toiletries Shower | Free Wi-Fi | Private Bathroom,Kerala
Sadhoo Company Road,Kannur Railway Station,Kannur,"The guest rooms of Sadhoo Inn are plush and elegantly furnished for a relaxed stay. For sumptuous and delicious meals, guests can step into the modish restaurant. The on-site swimming pool is ideal to laze and unwind.",Basics:Internet|Air Conditioning|Doorman|Housekeeping|Complimentary Wi-Fi access|Banquet Facility|Doctor on Call|Food &amp; Beverage:Restaurant|Travel:Travel Desk|Parking|Free Parking|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|Recreation:Spa|Jacuzzi|Massage Centre|Outdoor Swimming Pool|Steam Bath|Yoga & Meditation|Hotel Amenities:24-Hour Security|Business Services:Conference Hall|No Category:Free Newspaper|Front Desk|Phone Service,3 Star hotel,11.880459,75.385608,Sadhoo Inn,,Air Conditioning| Television| Internet / Broadband| Iron| Telephone | Wi-Fi Access on Charge | Newspaper Ceiling Fan Mineral Water Toiletries Intercom Flat Screen Television Hangers Tea / Coffee maker | Free Wi-Fi,Kerala
Railway Road,Near Railway Station,Karnal,"Hotel Prem Plaza, Karnal, offers a pleasant stay with its prompt service, warm hospitality and enticing dine and wine options. The warm hospitality with its excellent banqueting features makes it ideal among leisure travellers. Location:Hotel Prem Plaza is located at railway road. The hotel enjoys proximity to Atal Park (Approx. 5km) and Raghunath Mandir (Approx. 1km). The park proves to be a good picnic spot with fountains and lush garden. Other nearby places worth exploring are Karnal Fort, Kalander Shah's Tomb and Cantonment Church Tower.Distance from Karnal Airport: 8 km (approx.)Distance from Karnal Railway Station: 3 km (approx.)Hotel Features:Hotel Prem Plaza makes the stay pleasurable as well as memorable with its host of facilities. Range of basic features includes room service, internet, 24-hour front desk, 24-hour room service, non-smoking rooms, parking, travel desk, 24-hour security and doctor-on-call. Conference facilities, business services and conference suite are ensured to the business travellers during their corporate events. The banqueting facility is an attractive feature of the hotel. The hotel also offers various culinary treats like The Cake shop which bakes freshest cakes while The Koka Bar serves snazzy cocktails and wine. Guests can even relish delectable cuisines served in the in-house restaurant. Rooms:A deluxe room is offered for accommodation. The rooms have chic interiors and are cozy and warm. Modern amenities like colour television, internet access, minibar, refrigerator, safe, telephone, in-room menu, tea/coffee maker and writing desk are provided to ensure a hassle-free stay.",Food &amp; Beverage:Bar|Restaurant|Coffee Shop|Basics:Internet|Non-Smoking Rooms|Adjoining Rooms|Doorman|Express Check-In|Housekeeping|Complimentary Wi-Fi access|Banquet Facility|Doctor on Call|Travel:Travel Desk|Parking|Transportation Service|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|No Category:Conference facilities|Conference suite|Front Desk|Wedding Service|Hotel Amenities:24-Hour Security|Catering Service|Basic Room Amenities:Wake-Up Call Service,2 Star hotel,29.6918962,76.9780184,Hotel Prem Plaza,Hotel,Television| Internet / Broadband| Mini Bar| Safe | Telephone | Newspaper Toiletries Intercom Flat Screen Television In-Room Menu Satellite Television Tea / Coffee maker | Free Wi-Fi | Private Bathroom | Writing Desk / Study Table,Haryana
"Opp. Kesar Bagh, Shiv Road, Ratanada, JODHPUR- 342001",Ratanada Petrol Pump,Jodhpur,"Raman Palace, Jodhpur, features a royal misty look glazing the golden deserts of the mystic city of Jodhpur. Conveniently located, this hotel offers comfortable accommodations. A dedicated service and the peaceful aura of this hotel stand as an epitome of the many appreciations received by the hotel. Location:Raman Palace is located just opposite Kesar Bagh at Shiv road, Ratanada. The hotel is close to some of the most scenic and historical tourist spots such as the Ganesh Temple, Jodhpur (Approx. 2km) and the Mehrangarh Fort, Jodhpur (Approx. 6km). Shri Ganesh Temple can be reached by climbing about 60-80 steps. Guests can enjoy some wonderful views of the golden and rustic sunset from this temple. The view from the top of the Mehrangarh fort is a mandate for the discerning travellers wanting to enjoy a glimpse of the whole city of Jodhpur. Avid photographers must not miss views of the awe inspiring structures of Ghanta Ghar and Umaid Mahal. Guests can also enjoy boating or just wading in the waters of the Jaswant Sagar Dam. Distance from Jodhpur Airport: 3 km (approx.)Distance from Jodhpur Railway Station: 2 km (approx.)Hotel Features:Raman Palace offers ample amenities for guests comfort and convenience. The basic amenities like room service, internet, 24-hour front desk, 24-hour room service, parking, travel desk, 24-hour security and doctor on call ensures a hassle free stay to guests. The best and most striking feature of the hotel is its in house restaurant - Rasoi Ghar which serves some world class cuisines that guests can enjoy in a neat and royal ambience. The roof top restaurant Prateek offers some mouthwatering dishes which can be enjoyed with the stunning views of the Jodhpur city. Rooms:Accommodation is offered in the form of economy room, standard room, deluxe room and super deluxe room. Guests can be rest assured of a hassle free and convenient stay in these neat and well appointed rooms of the hotel. These rooms are equipped with all the essential facilities.",Basics:Internet|Air Conditioning|Adjoining Rooms|Doorman|Housekeeping|Doctor on Call|Food &amp; Beverage:Restaurant|Travel:Travel Desk|Parking|Bus Parking|Free Parking|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|Hotel Amenities:24-Hour Security|No Category:Front Desk|Basic Room Amenities:Wake-Up Call Service|Business Services:Printer|Fax|Photocopy|Scanner,2 Star hotel,26.281427,73.029162,Raman Palace,,Television | Private Bathroom | Luggage Rack | Ceiling Fan Toiletries | Windows Open,Rajasthan
"Nr.Sri Muthappan Temple, Parassinikadavu",Near Parassinikadavu Sri Muthappan Temple,Kannur,"Guests can enjoy a pleasurable stay in the cosy cottages with clean surroundings and essential amenities at Thai Resort. The property serves sumptuous meals to its guests. There is also a yoga and meditation centre, where guests can de-stress.",Basics:Internet|Doorman|Housekeeping|Travel:Travel Desk|Personal Services:24 Hour Front Desk|Room Service|Hotel Amenities:24-Hour Security|Business Services:Conference Hall|Recreation:Garden|Yoga & Meditation,2 Star hotel,11.983368,75.402103,Thai Resort,Resort,Air Conditioning| Television| Internet / Broadband | Telephone | Mineral Water | Toiletries,Kerala
"out side amar sagar gate,hanuman circle.",City Centre,Jaisalmer,"Hotel Manglam is the ideal location to visit Jaisalmer's rich heritage, culture, customs, traditions and hospitality. It is a heaven of peace and tranquility. We at Hotel Manglam offer you the perfect gateway to meet your holiday requirements.Hotel Manglam is situated in the heart of the city, within walking distance of its business, shopping and entertainment areas, surrounded by beautiful landscape views. The hotel is equipped with all modern amenities, so essential for the discerning travelers. A mid priced hotel that brings you the finest in hospitality. Whatever be your needs, think of us. Everything you look for in hotel is here.",Basics:Internet|Air Conditioning|Housekeeping|Complimentary Wi-Fi access|Doctor on Call|Food &amp; Beverage:Restaurant|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|No Category:Free Newspaper|Phone Service|Travel:Free Parking,2 Star hotel,26.916587,70.909531,Hotel Manglam,Hotel,Air Conditioning | Television | Ceiling Fan Toiletries Mirror Marble Floor Satellite Television | Windows Open | Private Bathroom | Luggage Rack,Rajasthan
"Nagore Main Road, Ambalchatram, Karaikal",Nagapattinam Highway,Karaikal,"Hotel Arul Inn, Karaikal is one of the luxury hotel in Karaikal, air conditioned rooms, suite rooms with colour television, telephone, hot/cold water, room service and multicuisine restaurant.",Food &amp; Beverage:Bar|Restaurant|Basics:Internet|Air Conditioning|Lift|Express Check-In|Express Check-Out|Housekeeping|Complimentary Wi-Fi access|Banquet Facility|Doctor on Call|Travel:Travel Desk|Parking|Taxi Service|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|Business Services:Conference Hall,2 Star hotel,10.916546,79.838547,Hotel Arul Inn,Hotel,Television | Air Conditioning,TamilNadu
"Acalvanshi Colony, Opp. Vyas Chattree (Sunset point)",City Centre,Jaisalmer,OYO Rooms Near Jaisalmer Sunset Point is a well-equipped hotel centrally located in a Golden City. It features tastefully done interiors and offers essential facilities that meets the requirements of discerning guests.,Basics:Internet|Air Conditioning|Interconnecting Rooms|Doorman|Housekeeping|Complimentary Wi-Fi access|24 Hour Power Supply|Food &amp; Beverage:Restaurant|Coffee Shop|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|Dry Cleaning|Travel:Parking|Free Parking|Hotel Amenities:24-Hour Security|Business Services:Fax|Photocopy,3 Star hotel,26.922046,70.907517,OYO Rooms Near Jaisalmer Sunset Point,,Air Conditioning| Television| Linen Available | Hot Water | Toiletries Flat Screen Television Satellite Television | Wake-Up Call Service | Private Bathroom | Writing Desk / Study Table,Rajasthan
